SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
520075,SAMKRG PIST.,X ,Q,171.10,172.00,165.05,170.95,170.25,171.10,139,8204,1393151.00,,INE706B01012,06-Jan-22,,
520086,SICAL LOG   ,B ,Q,15.20,15.85,14.43,15.41,15.41,15.10,517,246632,3835335.00,,INE075B01012,06-Jan-22,,
520111,RATNAMNI MET,A ,Q,1912.15,1952.25,1902.50,1941.75,1930.00,1918.30,402,5397,10447776.00,,INE703B01027,06-Jan-22,,
520113,VESUVIUS IND,A ,Q,1099.30,1100.00,1083.50,1097.55,1100.00,1099.90,19,63,68809.00,,INE386A01015,06-Jan-22,,
520119,AUTOMOTIVE S,B ,Q,798.10,798.10,798.10,798.10,798.10,760.10,55,1701,1357568.00,,INE900C01027,06-Jan-22,,
520121,ARCEE INDUST,X ,Q,9.71,10.60,9.71,10.50,10.50,10.19,27,3705,39038.00,,INE276D01012,06-Jan-22,,
520123,ABC INDIA   ,X ,Q,96.10,98.00,95.00,96.45,96.05,98.00,56,5122,494672.00,,INE125D01011,06-Jan-22,,
520127,BALURGHAT TE,XT,Q,11.88,12.50,11.88,12.50,12.50,12.50,9,4133,50783.00,,INE654B01014,06-Jan-22,,
520131,COASTAL ROAD,P ,Q,14.70,14.70,14.70,14.70,14.70,14.00,1,200,2940.00,,INE229E01019,06-Jan-22,,
520141,SIBAR AUTO  ,XT,Q,14.88,14.88,14.41,14.88,14.88,14.18,53,13579,201923.00,,INE441C01014,06-Jan-22,,
520151,SHREY SH LOG,B ,Q,237.60,242.00,237.15,238.30,237.40,241.15,442,4614,1103563.00,,INE757B01015,06-Jan-22,,
520155,STARLOG     ,X ,Q,13.05,13.85,12.62,13.26,13.05,13.28,23,1979,25753.00,,INE580C01019,06-Jan-22,,
